Facility ID,State,Hospitalization type,Payment comparison,Denominator,Payment,Value of care
10029,AL,heart failure,Less,574,16122,Worse Mortality
10087,AL,pneumonia,No Different,29,18322,Average Mortality
30010,AZ,heart failure,No Different,141,18496,Average Mortality
50168,CA,pneumonia,Greater,692,22405,Average Mortality
50280,CA,heart failure,Greater,588,18838,Worse Mortality
50464,CA,pneumonia,Less,423,17037,Average Mortality
50488,CA,heart attack,No Different,77,26028,Average Mortality
60096,CO,heart attack,No Different,25,23919,Average Mortality
61327,CO,pneumonia,Less,83,15529,Average Mortality
110035,GA,heart failure,No Different,1305,17577,Average Mortality
140231,IL,heart failure,Greater,955,18505,Better Mortality
190054,LA,heart attack,No Different,121,27366,Average Mortality
190144,LA,pneumonia,No Different,231,19315,Average Mortality
220031,MA,pneumonia,No Different,240,19154,Average Mortality
230037,MI,pneumonia,Less,207,15782,Average Mortality
230273,MI,pneumonia,No Different,179,19258,Average Mortality
340084,NC,pneumonia,No Different,54,18227,Average Mortality
360020,OH,pneumonia,No Different,654,19141,Average Mortality
370211,OK,pneumonia,No Different,264,19660,Average Mortality
380090,OR,pneumonia,Less,414,16568,Worse Mortality
390146,PA,heart failure,No Different,130,17026,Average Mortality
390219,PA,pneumonia,Greater,200,20471,Average Mortality
430015,SD,hip/knee replacement,Less,117,18294,Average Complications
450029,TX,pneumonia,Greater,500,19851,Better Mortality
450054,TX,heart attack,Less,268,23699,Average Mortality
450068,TX,heart attack,Greater,221,30377,Average Mortality
450099,TX,pneumonia,No Different,137,19970,Average Mortality
450209,TX,pneumonia,Greater,306,20840,Worse Mortality
240063,MN,hip/knee replacement,No Different,156,20232,Average Complications
30122,AZ,heart failure,No Different,117,18101,Average Mortality
40119,AR,heart attack,Greater,252,27982,Average Mortality
10035,AL,heart failure,No Different,489,17370,Average Mortality
310050,NJ,pneumonia,Greater,1145,22289,Better Mortality
150150,IN,heart failure,No Different,39,16263,Average Mortality
161320,IA,pneumonia,Greater,35,22517,Average Mortality
160064,IA,hip/knee replacement,Less,811,20056,Worse Complications
340042,NC,pneumonia,No Different,510,17508,Worse Mortality
230041,MI,pneumonia,Less,455,17189,Average Mortality
100050,FL,heart failure,No Different,95,19272,Average Mortality
381305,OR,pneumonia,No Different,68,20141,Average Mortality
150173,IN,heart failure,No Different,345,18434,Average Mortality
50131,CA,pneumonia,No Different,159,18523,Average Mortality
50360,CA,heart failure,No Different,340,17614,Better Mortality
151313,IN,heart failure,No Different,43,17946,Average Mortality
160089,IA,pneumonia,Greater,208,20790,Average Mortality
271323,MT,pneumonia,Less,49,15373,Average Mortality
70035,CT,pneumonia,Greater,558,20026,Average Mortality
61310,CO,pneumonia,No Different,29,16243,Average Mortality
370016,OK,heart attack,No Different,86,27783,Average Mortality
170020,KS,heart failure,No Different,280,17926,Worse Mortality
110121,GA,heart failure,No Different,47,15750,Average Mortality
310111,NJ,heart failure,Greater,769,19880,Average Mortality
120022,HI,heart attack,No Different,178,23898,Average Mortality
50301,CA,pneumonia,Less,231,15694,Average Mortality
240069,MN,pneumonia,No Different,78,17428,Average Mortality
50245,CA,heart failure,No Different,92,16783,Average Mortality
60027,CO,heart attack,No Different,81,28408,Average Mortality
260004,MO,heart failure,No Different,26,16637,Average Mortality
40029,AR,heart failure,No Different,195,18959,Average Mortality
140088,IL,heart attack,No Different,124,27227,Average Mortality
220015,MA,pneumonia,No Different,406,18455,Average Mortality
140015,IL,hip/knee replacement,No Different,157,20289,Average Complications
110191,GA,pneumonia,No Different,451,18909,Average Mortality
50549,CA,hip/knee replacement,Less,1158,20034,Average Complications
330205,NY,heart attack,No Different,43,27413,Average Mortality
50136,CA,heart failure,No Different,134,17729,Average Mortality
300017,NH,heart failure,Less,281,15588,Average Mortality
370236,OK,heart failure,No Different,65,17744,Average Mortality
50744,CA,pneumonia,No Different,61,20863,Average Mortality
180141,KY,heart attack,No Different,41,24450,Average Mortality
110177,GA,heart attack,Less,101,22956,Average Mortality
200018,ME,hip/knee replacement,Greater,32,24198,Average Complications
301302,NH,hip/knee replacement,Less,261,19513,Average Complications
150126,IN,heart failure,No Different,485,17968,Average Mortality
30115,AZ,heart failure,No Different,259,17633,Average Mortality
230117,MI,pneumonia,No Different,494,17730,Worse Mortality
110124,GA,hip/knee replacement,Less,130,19679,Average Complications
281360,NE,pneumonia,No Different,109,18064,Average Mortality
171339,KS,heart failure,Greater,40,20997,Average Mortality
380090,OR,heart attack,Less,312,23654,Average Mortality
260034,MO,pneumonia,Less,124,15111,Average Mortality
151327,IN,heart failure,No Different,39,17853,Average Mortality
190007,LA,hip/knee replacement,No Different,55,22392,Average Complications
111324,GA,pneumonia,No Different,95,17115,Average Mortality
170142,KS,hip/knee replacement,No Different,278,21048,Average Complications
161347,IA,pneumonia,No Different,86,19725,Average Mortality
370089,OK,pneumonia,No Different,166,19177,Average Mortality
50232,CA,heart failure,No Different,257,18206,Worse Mortality
370099,OK,pneumonia,No Different,103,17525,Average Mortality
231310,MI,pneumonia,No Different,57,18211,Average Mortality
340151,NC,hip/knee replacement,Less,286,16577,Average Complications
20012,AK,heart failure,Less,109,15334,Average Mortality
280132,NE,pneumonia,Less,222,16686,Average Mortality
70007,CT,heart attack,No Different,233,27082,Average Mortality
50152,CA,heart failure,No Different,106,18359,Average Mortality
360096,OH,heart failure,No Different,173,17137,Average Mortality
10065,AL,pneumonia,No Different,180,17431,Average Mortality
360174,OH,pneumonia,No Different,410,18755,Average Mortality
180035,KY,heart failure,No Different,685,18149,Average Mortality
360107,OH,hip/knee replacement,No Different,40,23181,Average Complications
340155,NC,heart failure,Less,535,16232,Average Mortality
90008,DC,heart failure,No Different,208,17857,Average Mortality
360055,OH,pneumonia,Greater,330,19667,Average Mortality
50075,CA,pneumonia,No Different,132,17696,Average Mortality
330197,NY,heart failure,Less,177,16013,Average Mortality
50069,CA,heart attack,No Different,167,27880,Average Mortality
220090,MA,pneumonia,No Different,659,17981,Better Mortality
140091,IL,hip/knee replacement,Less,443,19466,Average Complications
100063,FL,heart failure,Greater,291,20861,Average Mortality
140018,IL,pneumonia,No Different,64,17891,Average Mortality
390002,PA,heart attack,No Different,60,26812,Average Mortality
261330,MO,pneumonia,No Different,108,19842,Average Mortality
100223,FL,heart failure,No Different,518,18540,Average Mortality
260200,MO,heart failure,No Different,543,18152,Average Mortality
40010,AR,heart attack,No Different,243,24468,Average Mortality
110230,GA,heart failure,Less,216,15944,Average Mortality
161332,IA,heart failure,No Different,28,18050,Average Mortality
140032,IL,heart attack,No Different,64,25254,Average Mortality
270087,MT,pneumonia,No Different,35,16353,Average Mortality
310034,NJ,heart failure,Greater,533,21199,Average Mortality
301300,NH,pneumonia,No Different,42,16488,Average Mortality
10049,AL,heart failure,No Different,95,16878,Average Mortality
250031,MS,heart failure,No Different,279,18804,Average Mortality
100047,FL,heart attack,No Different,33,26951,Average Mortality
140234,IL,heart attack,No Different,42,24666,Average Mortality
360085,OH,heart attack,No Different,344,24387,Average Mortality
151335,IN,heart failure,No Different,25,17458,Average Mortality
50761,CA,hip/knee replacement,No Different,74,21798,Average Complications
50226,CA,pneumonia,Greater,322,21415,Average Mortality
220073,MA,pneumonia,Greater,554,19509,Average Mortality
381315,OR,pneumonia,Less,51,15311,Average Mortality
140307,IL,heart failure,No Different,228,17341,Average Mortality
50704,CA,hip/knee replacement,Greater,84,25754,Average Complications
150004,IN,heart attack,No Different,102,27222,Average Mortality
230096,MI,pneumonia,No Different,105,16809,Average Mortality
360180,OH,heart failure,No Different,1104,17398,Better Mortality
171371,KS,pneumonia,No Different,152,18425,Average Mortality
330055,NY,hip/knee replacement,Greater,436,23802,Average Complications
210008,MD,heart failure,No Different,194,16717,Average Mortality
50336,CA,heart failure,No Different,501,16963,Worse Mortality
170196,KS,hip/knee replacement,Less,400,19293,Average Complications
70020,CT,pneumonia,No Different,1079,18811,Average Mortality
371319,OK,pneumonia,Less,85,15473,Average Mortality
230230,MI,heart attack,Less,469,23909,Average Mortality
210051,MD,hip/knee replacement,Greater,211,26123,Average Complications
330045,NY,heart attack,No Different,360,26530,Average Mortality
50737,CA,heart attack,No Different,72,28258,Average Mortality
150059,IN,heart attack,No Different,84,23317,Average Mortality
130013,ID,pneumonia,No Different,225,18001,Average Mortality
330160,NY,heart attack,No Different,305,23824,Average Mortality
150100,IN,heart failure,Greater,580,19033,Average Mortality
240104,MN,hip/knee replacement,Less,109,17957,Average Complications
230069,MI,heart failure,Less,195,16195,Average Mortality
260195,MO,heart attack,No Different,75,23772,Average Mortality
190007,LA,heart attack,No Different,34,27123,Average Mortality
110015,GA,heart failure,No Different,114,17203,Average Mortality
340061,NC,hip/knee replacement,Greater,347,23655,Average Complications
200031,ME,heart failure,Less,114,15296,Average Mortality
330043,NY,pneumonia,No Different,692,18767,Average Mortality
50457,CA,hip/knee replacement,Less,292,19708,Average Complications
100248,FL,hip/knee replacement,Greater,109,25032,Worse Complications
290007,NV,heart attack,No Different,79,28731,Average Mortality
351336,ND,pneumonia,Less,106,14668,Average Mortality
110161,GA,pneumonia,No Different,440,18437,Better Mortality
120006,HI,heart failure,No Different,104,17141,Average Mortality
30023,AZ,hip/knee replacement,Less,678,18889,Average Complications
140294,IL,hip/knee replacement,No Different,122,21911,Average Complications
110078,GA,pneumonia,No Different,212,17421,Average Mortality
360071,OH,pneumonia,No Different,87,18756,Average Mortality
50290,CA,hip/knee replacement,Less,2381,18907,Better Complications
180051,KY,heart attack,No Different,27,24318,Average Mortality
50036,CA,heart failure,No Different,335,17395,Average Mortality
291313,NV,heart failure,No Different,60,15647,Average Mortality
381303,OR,hip/knee replacement,No Different,37,21124,Average Complications
360086,OH,pneumonia,Greater,505,20173,Average Mortality
110016,GA,pneumonia,No Different,294,19094,Average Mortality
140180,IL,heart failure,No Different,202,17933,Average Mortality
260077,MO,heart attack,No Different,293,27221,Average Mortality
281357,NE,hip/knee replacement,No Different,82,20891,Average Complications
341329,NC,heart failure,No Different,64,17174,Average Mortality
330222,NY,heart attack,No Different,118,23250,Average Mortality
340075,NC,pneumonia,Less,393,16453,Average Mortality
161355,IA,pneumonia,Greater,107,21278,Average Mortality
330226,NY,heart failure,No Different,357,16632,Average Mortality
100264,FL,pneumonia,Greater,746,20172,Worse Mortality
100118,FL,hip/knee replacement,No Different,532,21097,Average Complications
220111,MA,pneumonia,No Different,812,18925,Average Mortality
230075,MI,pneumonia,No Different,446,17562,Average Mortality
240001,MN,pneumonia,No Different,290,18272,Average Mortality
261321,MO,pneumonia,No Different,140,18616,Average Mortality
60010,CO,heart attack,Less,129,22356,Average Mortality
90003,DC,heart attack,No Different,47,27781,Average Mortality
50100,CA,heart failure,No Different,509,18063,Average Mortality
210044,MD,heart failure,No Different,560,17309,Average Mortality
40067,AR,pneumonia,No Different,98,17169,Average Mortality
330073,NY,hip/knee replacement,No Different,80,21608,Average Complications
120014,HI,hip/knee replacement,Less,152,17540,Average Complications
330115,NY,heart failure,No Different,119,16495,Average Mortality
100012,FL,heart failure,No Different,1323,17558,Average Mortality
260059,MO,heart failure,No Different,107,16204,Average Mortality
370018,OK,pneumonia,Greater,378,20683,Average Mortality
230277,MI,pneumonia,No Different,225,18276,Average Mortality
310014,NJ,pneumonia,Greater,344,19558,Average Mortality
100285,FL,heart failure,Greater,77,20576,Average Mortality
110029,GA,pneumonia,No Different,1816,18139,Average Mortality
30115,AZ,heart attack,No Different,130,24453,Average Mortality
110200,GA,hip/knee replacement,No Different,500,20894,Average Complications
10120,AL,heart failure,No Different,57,18566,Average Mortality
330024,NY,heart attack,No Different,295,26555,Average Mortality
210039,MD,heart attack,No Different,71,26422,Average Mortality
190098,LA,heart attack,No Different,107,25712,Average Mortality
230222,MI,hip/knee replacement,Less,597,18336,Average Complications
60030,CO,hip/knee replacement,Less,145,19383,Average Complications
